date,symbol,asset_type,recommended_amount,status,final_human_readable_action,final_reason_codes,logic_note,reason
2019-01-02,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-01-02,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-01-02,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-01-02,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-01-02,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-01-02,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-02-01,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-02-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-02-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-02-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-02-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-02-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-03-01,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-03-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-03-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-03-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-03-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-03-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-04-01,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-04-01,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-04-01,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-04-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-04-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-04-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-04-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-04-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-05-06,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-05-06,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-05-06,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-05-06,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-05-06,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-05-06,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-05-06,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-05-06,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-06-03,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-06-03,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-06-03,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-06-03,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-06-03,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-06-03,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-06-03,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-06-03,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-07-01,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-07-01,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-07-01,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-07-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-07-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-07-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-07-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-07-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-08-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-08-01,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-08-01,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2019-08-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-08-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-08-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-08-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-08-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-09-02,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-09-02,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-09-02,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-09-02,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-09-02,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-09-02,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-09-02,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-10-08,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-10-08,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-10-08,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-10-08,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-10-08,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-10-08,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-10-08,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-11-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-11-01,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-11-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-11-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-11-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-11-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-11-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-12-02,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2019-12-02,515180,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2019-12-02,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-12-02,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-12-02,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-12-02,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2019-12-02,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-01-02,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-01-02,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-01-02,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-01-02,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-01-02,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-01-02,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-01-02,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-02-03,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2020-02-03,515180,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2020-02-03,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-02-03,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-02-03,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-02-03,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-02-03,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-03-02,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-03-02,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-03-02,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-03-02,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-03-02,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-03-02,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-03-02,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-04-01,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2020-04-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2020-04-01,515180,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2020-04-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-04-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-04-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-04-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-04-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-05-06,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2020-05-06,515180,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2020-05-06,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-05-06,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-05-06,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-05-06,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-05-06,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-05-06,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-06-01,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-06-01,515180,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2020-06-01,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-06-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-06-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-06-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-06-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-06-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-07-01,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-07-01,510500,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-07-01,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-07-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-07-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-07-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-07-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-07-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-08-03,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-08-03,510500,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-08-03,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-08-03,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-08-03,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-08-03,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-08-03,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-08-03,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-09-01,510300,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-09-01,510500,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-09-01,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-09-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-09-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-09-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-09-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-09-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-10-09,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2020-10-09,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-10-09,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-10-09,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-10-09,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-10-09,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-11-02,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2020-11-02,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-11-02,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-11-02,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-11-02,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-11-02,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-12-01,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2020-12-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-12-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-12-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-12-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2020-12-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-01-04,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-01-04,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-01-04,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-01-04,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-01-04,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-01-04,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-02-01,510300,etf,177.2099971248186,GREEN,正常,green,,below_min_trade_lot
2021-02-01,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-02-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-02-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-02-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-02-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-02-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-03-01,515180,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2021-03-01,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-03-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-03-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-03-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-03-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-03-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-04-01,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-04-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-04-01,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-04-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-04-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-04-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-04-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-04-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-05-06,515180,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2021-05-06,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-05-06,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-05-06,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-05-06,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-05-06,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-05-06,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-06-01,515180,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2021-06-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-06-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-06-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-06-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-06-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-07-01,515180,etf,0.0,GREEN,正常,green,,recommended_amount_zero
