date,symbol,asset_type,recommended_amount,status,final_human_readable_action,final_reason_codes,logic_note,reason
2021-07-01,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-07-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-07-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-07-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-07-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-07-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-08-02,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-08-02,515180,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2021-08-02,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-08-02,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-08-02,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-08-02,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-08-02,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-08-02,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-09-01,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-09-01,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-09-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-09-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-09-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-09-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-09-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-10-08,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-10-08,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-10-08,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-10-08,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-10-08,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-10-08,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-10-08,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-11-01,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-11-01,515180,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-11-01,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-11-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-11-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-11-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-11-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-11-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-12-01,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-12-01,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2021-12-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-12-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-12-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-12-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2021-12-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-01-04,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-01-04,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-01-04,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-01-04,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-01-04,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-01-04,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-01-04,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-02-07,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-02-07,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-02-07,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-02-07,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-02-07,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-02-07,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-02-07,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-03-01,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-03-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-03-01,515180,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2022-03-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-03-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-03-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-03-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-03-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-04-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2022-04-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-04-01,515180,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2022-04-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-04-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-04-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-04-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-04-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-05-05,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2022-05-05,510500,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2022-05-05,515180,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-05-05,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-05-05,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-05-05,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-05-05,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-05-05,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-06-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2022-06-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-06-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-06-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-06-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-06-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-06-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-07-01,510300,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-07-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-07-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-07-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-07-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-07-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-07-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-08-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2022-08-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-08-01,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-08-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-08-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-08-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-08-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-08-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-09-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2022-09-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-09-01,518880,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-09-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-09-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-09-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-09-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-09-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-10-10,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2022-10-10,510500,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2022-10-10,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-10-10,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-10-10,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-10-10,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-10-10,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-11-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2022-11-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-11-01,515180,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-11-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-11-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-11-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-11-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-11-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-12-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2022-12-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2022-12-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-12-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-12-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-12-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2022-12-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-01-03,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-01-03,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2023-01-03,515180,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2023-01-03,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-01-03,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-01-03,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-01-03,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-01-03,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-02-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-02-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2023-02-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-02-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-02-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-02-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-02-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-03-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-03-01,515180,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2023-03-01,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2023-03-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-03-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-03-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-03-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-03-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-04-03,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-04-03,515180,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2023-04-03,518880,etf,0.0,GREEN,正常,green,,recommended_amount_zero
2023-04-03,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-04-03,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-04-03,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-04-03,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-04-03,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-05-04,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-05-04,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2023-05-04,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-05-04,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-05-04,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-05-04,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-05-04,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-06-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-06-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2023-06-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-06-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-06-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-06-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-06-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-07-03,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-07-03,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2023-07-03,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-07-03,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-07-03,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-07-03,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-07-03,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-08-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-08-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2023-08-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-08-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-08-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-08-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-08-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-09-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-09-01,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2023-09-01,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-09-01,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-09-01,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-09-01,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-09-01,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-10-09,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-10-09,510500,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
2023-10-09,600519,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-10-09,000858,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-10-09,600036,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-10-09,000333,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-10-09,601318,stock,400.0,GREEN,正常,green,,below_min_trade_lot
2023-11-01,510300,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-11-01,510500,etf,0.0,RED,价格 RED，强制人工复核,price_red,,recommended_amount_zero
2023-11-01,515180,etf,0.0,YELLOW,价格 YELLOW，暂停新增并人工复核,price_yellow,,recommended_amount_zero
